BJD - 2454833, Corrected Flux
2749.610385428, 0.997866698,
2749.630817362, 0.998009968,
2749.651249196, 0.997960084,
2749.671681229, 0.998244174,
2749.692113162, 0.998280367,
2749.712544995, 0.998292826,
2749.732977027, 0.998416600,
2749.753408959, 0.998421826,
2749.773840791, 0.998538111,
2749.794272822, 0.998507480,
2749.814704753, 0.998577011,
2749.835136584, 0.998629992,
2749.855568614, 0.998771303,
2749.876000544, 0.998854244,
2749.916864403, 0.998592547,
2749.937296332, 0.998676971,
2749.957728161, 0.998663432,
2749.978160189, 0.998571338,
2749.998592117, 0.998637027,
2750.019023945, 0.998735310,
2750.039455972, 0.998806060,
2750.059887899, 0.998840989,
2750.080319826, 0.998840474,
2750.100751752, 0.998827905,
2750.121183678, 0.998916915,
2750.141615604, 0.998953615,
2750.162047529, 0.998959387,
2750.182479454, 0.999011684,
2750.202911479, 0.999026711,
2750.223343304, 0.999082935,
2750.243775228, 0.999078484,
2750.264207251, 0.999070104,
2750.284639075, 0.999131106,
2750.305070998, 0.999028266,
2750.325503021, 0.999016417,
2750.345934843, 0.999118309,
2750.366366765, 0.999106531,
2750.386798787, 0.999219586,
2750.407230609, 0.999196009,
2750.427662530, 0.999323520,
2750.448094551, 0.999385124,
2750.468526471, 0.999389117,
2750.488958291, 0.999359456,
2750.509390311, 0.999319310,
2750.529822231, 0.999298424,
2750.550254150, 0.999259550,
2750.570686069, 0.999383938,
2750.591117988, 0.999453148,
2750.611549906, 0.999599035,
2750.652413742, 0.999389224,
2750.672845659, 0.999381819,
2750.693277576, 0.999403837,
2750.713709493, 0.999371347,
2750.734141409, 0.999352277,
2750.754573325, 0.999450972,
2750.775005141, 0.999432981,
2750.795437156, 0.999366286,
2750.815869071, 0.999353349,
2750.836300886, 0.999451653,
2750.856732900, 0.999381820,
2750.877164814, 0.999378890,
2750.897596728, 0.999428133,
2750.918028641, 0.999376181,
2750.938460555, 0.999333085,
2750.958892468, 0.999366440,
2750.979324380, 0.999355263,
2750.999756292, 0.999353126,
2751.020188304, 0.999340892,
2751.040620215, 0.999396675,
2751.061052027, 0.999369349,
2751.081484038, 0.999483597,
2751.101915948, 0.999418487,
2751.142779769, 0.999462655,
2751.163211678, 0.999502828,
2751.183643487, 0.999523797,
2751.204075496, 0.999513130,
2751.224507405, 0.999494264,
2751.244939214, 0.999457698,
2751.265371222, 0.999542040,
2751.285803129, 0.999481479,
2751.306235037, 0.999519064,
2751.326666944, 0.999518232,
2751.347098851, 0.999517390,
2751.367530757, 0.999550881,
2751.387962663, 0.999539515,
2751.408394569, 0.999543950,
2751.428826475, 0.999569189,
2751.449258380, 0.999557880,
2751.469690285, 0.999490889,
2751.490122090, 0.999498461,
2751.510554094, 0.999498225,
2751.530985998, 0.999547259,
2751.551418001, 0.999508512,
2751.571849805, 0.999553371,
2751.592281708, 0.999590296,
2751.612713710, 0.999608970,
2751.633145513, 0.999640282,
2751.653577415, 0.999549153,
2751.674009417, 0.999552208,
2751.694441218, 0.999551518,
2751.714873119, 0.999628469,
2751.735305120, 0.999560843,
2751.755736921, 0.999658949,
2751.776168821, 0.999560194,
2751.796600821, 0.999589815,
2751.817032620, 0.999632099,
2751.837464520, 0.999606352,
2751.857896519, 0.999572720,
2751.878328417, 0.999611755,
2751.898760216, 0.999653068,
2751.919192214, 0.999551253,
2751.939624111, 0.999451933,
2751.960055909, 0.999686428,
2751.980487906, 0.999705703,
2752.000919803, 0.999774352,
2752.021351799, 0.999763980,
2752.041783595, 0.999755528,
2752.062215491, 0.999608610,
2752.082647487, 0.999841988,
2752.123511177, 0.999864023,
2752.143943172, 0.999917526,
2752.164374966, 0.999939787,
2752.184806860, 0.999894828,
2752.205238854, 0.999988918,
2752.225670647, 0.999926055,
2752.246102540, 0.999950954,
2752.266534433, 0.999974538,
2752.286966326, 0.999934518,
2752.307398218, 0.999953035,
2752.327830110, 0.999924054,
2752.348262001, 0.999854902,
2752.368693893, 0.999875499,
2752.389125884, 0.999854254,
2752.409557674, 0.999712589,
2752.429989564, 0.999773870,
2752.450421554, 0.999732460,
2752.470853344, 0.999830867,
2752.491285334, 0.999799364,
2752.511717223, 0.999747239,
2752.532149012, 0.999833804,
2752.552581000, 0.999919155,
2752.573012888, 0.999966075,
2752.613876664, 0.999968048,
2752.634308551, 1.000012344,
2752.654740338, 0.999988143,
2752.675172325, 1.000038161,
2752.695604211, 1.000000000,
2752.716036097, 0.999948188,
2752.736467983, 0.999997397,
2752.756899869, 0.999968590,
2752.777331754, 0.999907774,
2752.797763639, 0.999845863,
2752.818195523, 0.999937348,
2752.838627408, 0.999866873,
2752.859059392, 0.999782789,
2752.879491175, 0.999795473,
2752.899923059, 0.999797930,
2752.920355042, 0.999841759,
2752.940786824, 0.999837891,
2752.961218807, 0.999795538,
2752.981650589, 0.999751655,
2753.002082471, 0.999947425,
2753.022514453, 0.999933774,
2753.042946234, 1.000001379,
2753.063378115, 0.999957471,
2753.124673756, 1.000125208,
2753.145105736, 1.000081583,
2753.165537515, 1.000110055,
2753.185969394, 1.000152387,
2753.206401373, 1.000075558,
2753.226833252, 1.000043594,
2753.247265030, 1.000098531,
2753.267697008, 1.000109039,
2753.288128886, 1.000158566,
2753.308560663, 1.000136096,
2753.328992640, 1.000054474,
2753.349424517, 1.000043440,
2753.369856494, 1.000035513,
2753.390288270, 1.000035777,
2753.410720146, 1.000017254,
2753.431152121, 1.000048327,
2753.451583897, 1.000120566,
2753.472015772, 0.999962278,
2753.492447746, 0.999760973,
2753.512879521, 0.999773780,
2753.533311395, 0.999718307,
2753.553743369, 0.999853543,
2753.594607016, 0.999575514,
2753.676334606, 1.000201196,
2753.696766377, 1.000212561,
2753.717198249, 1.000181563,
2753.737630220, 1.000170064,
2753.758061991, 1.000206737,
2753.778493862, 1.000184487,
2753.798925832, 1.000232717,
2753.819357602, 1.000247346,
2753.839789572, 1.000265346,
2753.860221441, 1.000241788,
2753.880653210, 1.000307843,
2753.901085179, 1.000315344,
2753.921517048, 1.000326456,
2753.941948816, 1.000339842,
2753.962380784, 1.000421590,
2753.982812652, 1.000466972,
2754.003244419, 1.000437535,
2754.023676386, 1.000396478,
2754.044108253, 1.000421792,
2754.084971986, 1.000425813,
2754.105403852, 1.000410805,
2754.125835717, 1.000385937,
2754.146267583, 1.000439369,
2754.166699448, 1.000359102,
2754.187131312, 1.000342282,
2754.207563277, 1.000362727,
2754.227995041, 1.000364349,
2754.248426905, 1.000288918,
2754.268858869, 1.000364459,
2754.289290632, 1.000334013,
2754.309722595, 1.000277774,
2754.330154458, 1.000303318,
2754.350586220, 1.000334822,
2754.371018183, 1.000301234,
2754.391450045, 1.000347817,
2754.411881806, 1.000368464,
2754.432313768, 1.000340690,
2754.452745629, 1.000397880,
2754.473177389, 1.000357537,
2754.493609350, 1.000355758,
2754.514041110, 1.000380376,
2754.534472970, 1.000375058,
2754.575336789, 1.000340116,
2754.595768548, 1.000322664,
2754.616200507, 1.000322992,
2754.636632365, 1.000352188,
2754.657064123, 1.000307982,
2754.677496081, 1.000362854,
2754.697927939, 1.000322098,
2754.718359796, 1.000366938,
2754.738791653, 1.000385139,
2754.759223510, 1.000349341,
2754.779655466, 1.000302247,
2754.800087223, 1.000306679,
2754.820519079, 1.000347639,
2754.840951034, 1.000375058,
2754.861382790, 1.000353132,
2754.881814645, 1.000289956,
2754.902246599, 1.000336003,
2754.922678354, 1.000372206,
2754.943110208, 1.000347895,
2754.963542162, 1.000288705,
2754.983973916, 1.000323915,
2755.004405769, 1.000418609,
2755.024837722, 1.000373233,
2755.065701328, 1.000444923,
2755.086133280, 1.000427961,
2755.106565132, 1.000438295,
2755.126996884, 1.000474112,
2755.147428835, 1.000437518,
2755.167860686, 1.000519429,
2755.188292537, 1.000485723,
2755.208724387, 1.000558231,
2755.229156138, 1.000507217,
2755.249588088, 1.000507371,
2755.270019938, 1.000452346,
2755.290451687, 1.000458685,
2755.310883636, 1.000436095,
2755.331315485, 1.000545354,
2755.351747234, 1.000482815,
2755.372179182, 1.000457154,
2755.392611030, 1.000527646,
2755.413042878, 1.000466361,
2755.433474725, 1.000504022,
2755.453906573, 1.000447509,
2755.474338420, 1.000502156,
2755.494770266, 1.000543162,
2755.515202113, 1.000466408,
2755.556065805, 1.000479809,
2755.576497650, 1.000496731,
2755.596929495, 1.000493036,
2755.617361441, 1.000500432,
2755.637793185, 1.000461144,
2755.658225130, 1.000418639,
2755.678656974, 1.000398529,
2755.699088718, 1.000407210,
2755.719520661, 1.000374366,
2755.739952505, 1.000369700,
2755.760384248, 1.000333735,
2755.801248033, 1.000398611,
2755.821679776, 1.000416631,
2755.842111718, 1.000467775,
2755.862543559, 1.000285659,
2755.882975401, 1.000331212,
2755.903407242, 1.000317615,
2755.923839083, 1.000352219,
2755.944270923, 1.000316778,
2755.964702764, 1.000409100,
2755.985134604, 1.000382584,
2756.005566444, 1.000408775,
2756.025998283, 1.000556495,
2756.046430123, 1.000437676,
2756.066862062, 1.000434476,
2756.087293800, 1.000388128,
2756.107725639, 1.000402745,
2756.128157577, 1.000393383,
2756.148589315, 1.000409950,
2756.169021153, 1.000338545,
2756.189453090, 1.000399216,
2756.209884827, 1.000433305,
2756.230316664, 1.000376122,
2756.250748600, 1.000363957,
2756.271180337, 1.000382507,
2756.291612173, 1.000355254,
2756.312044108, 1.000395344,
2756.332475844, 1.000361990,
2756.352907679, 1.000400690,
2756.373339614, 1.000444360,
2756.393771349, 1.000406506,
2756.414203183, 1.000383555,
2756.434635117, 1.000369571,
2756.455066951, 1.000411425,
2756.475498685, 1.000411844,
2756.495930618, 1.000404669,
2756.536794384, 1.000415825,
